nome_parceiro,nome_produto,count_contratos,valor_aluguel,valor_aluguel_acumulado,date_inicio_contrato_mais_rescente,porcentagem_acumulada,classe,pontualizado
Light - Valore Investimentos Imobiliarios LTDA,Light,368,1479959.09,1479959.09,2026-06-01,15.955658,A,1.0
MBASTOS CORRETORA DE IMOVEIS LTDA.,Smart,238,522719.58,2002678.67,2026-06-08,21.591175,A,1.0
SIMONE CONRADO TIMMERMANN NEGOCIOS IMOBILIARIOS,Smart,102,345615.89,2348294.56,2027-12-26,25.317311,A,1.0
CLASS NEGÓCIOS IMOBILIARIOS LTDA,Light,101,275685.00,2623979.56,2026-06-01,28.289512,A,1.0
EMPREENDIMENTOS IMOBILIARIOS ADRIANO E LUCILEIA LTDA,Smart,147,271759.02,2895738.58,2026-05-23,31.219386,A,1.0
"MMWM ASSESSORIA IMOBILIARIA LTDA, MMWM CRECI 7062-J ",Full,120,250107.77,3145846.35,2026-05-14,33.915835,A,1.0
NOVA SOLAR EMPREENDIMENTOS IMOBILIÁRIOS S/S LTDA,Smart,92,224208.92,3370055.27,2026-05-22,36.333064,A,1.0
IMOVELVESP IMOBILIÁRIA LTDA,Smart,188,222591.76,3592647.03,2026-05-20,38.732859,A,1.0
VIA M EMPREENDIMENTOS IMOBILIARIOS LTDA,Smart,136,209904.39,3802551.42,2026-06-08,40.995869,A,1.0
Light Safe - JACQUELINE IMOVEIS EMPREENDIMENTOS IMOBILIARIOS LTDA,Light,140,199055.21,4001606.63,2026-05-11,43.141913,A,1.0
IMOVEIS BRUNO LARA LTDA,Smart,103,187100.00,4188706.63,2026-05-22,45.159066,A,2.0
GF IMOVEIS LTDA,Light,71,180396.54,4369103.17,2026-04-17,47.103947,A,1.0
UPMWA LOCACOES IMOBILIARIAS LTDA,Full,96,177471.34,4546574.51,2026-05-22,49.017292,A,1.0
LEHOME NEGOCIOS IMOBILIARIOS LTDA,Smart,52,160249.01,4706823.52,2026-06-01,50.74496,A,2.0
Light Safe - OTTO HOUSE LAR & PATRIMONIO LTDA,Light,48,156010.68,4862834.20,2026-04-15,52.426935,A,2.0
ALUGGAI ADMINISTRACAO DE IMOVEIS LTDA - IGM,Smart,103,142116.03,5004950.23,2026-05-05,53.959109,A,2.0
HELLO NEGOCIOS IMOBILIARIOS LTDA,Smart,62,137253.38,5142203.61,2026-05-04,55.438858,A,2.0
UPMWA LOCACOES IMOBILIARIAS LTDA,Smart,86,133576.67,5275780.28,2026-05-24,56.878967,A,1.0
MONTREAL IMOVEIS LTDA,Smart,59,131258.53,5407038.81,2026-05-20,58.294085,A,2.0
LOUNGE NEGOCIOS IMOBILIARIOS LTDA,Smart,61,124104.71,5531143.52,2026-06-01,59.632076,A,2.0
Light Growth - RODRIGUES E SILVA EMPREENDIMENTOS IMOBILIARIOS LTDA,Light,50,122989.00,5654132.52,2026-05-25,60.958039,A,1.0
LIGHT - AM IMOVEIS LTDA,Light,41,111900.00,5766032.52,2026-05-15,62.164449,A,1.0
CIA DO IMOVEL LTDA,Smart,58,111163.68,5877196.20,2026-05-04,63.362921,A,2.0
DALTON AQUILES IMÓVEIS LTDA,Smart,76,107215.01,5984411.21,2026-05-20,64.518822,A,2.0
BRUM ADMINISTRADORA DE IMOVEIS LTDA,Smart,71,97105.34,6081516.55,2026-03-09,65.565729,A,2.0
4IMOB IMOBILIÁRIA LTDA,Smart,31,94249.37,6175765.92,2026-05-03,66.581846,A,1.0
MAIA FERNANDES NEGOCIOS IMOBILIARIOS LTDA,Smart,54,92843.48,6268609.40,2026-05-08,67.582805,A,2.0
EXPERTISE NEGOCIOS IMOBILIARIOS LTDA,Full,32,91811.50,6360420.90,2026-04-28,68.572638,A,1.0
LUÍS FELIPE ARAÚJO GALVÃO DOS SANTOS,Full,20,87094.75,6447515.65,2026-05-08,69.51162,A,1.0
BLUME NEGOCIOS IMOBILIARIOS LTDA,Full,80,85555.56,6533071.21,2026-05-15,70.434007,A,2.0
Light- LUAGGE IMÓVEIS LTDA,Light,53,83413.96,6616485.17,2026-03-01,71.333305,A,1.0
"MMWM ASSESSORIA IMOBILIARIA LTDA, MMWM CRECI 7062-J ",Smart,46,82108.87,6698594.04,2024-11-09,72.218533,A,1.0
UP ESTATE IMÓVEIS LTDA.,Smart,39,74051.54,6772645.58,2026-04-22,73.016894,A,1.0
RSANCHES IMÓVEIS SERVIÇOS DE CORRETAGEM LTDA,Smart,44,72871.44,6845517.02,2026-04-30,73.802531,A,2.0
Light Growth - RAPHAEL IMÓVEIS LTDA,Light,18,68242.66,6913759.68,2026-04-24,74.538266,A,1.0
GOLDEN IMÓVEIS LTDA,Full,36,64384.71,6978144.39,2025-09-09,75.232407,A,2.0
JAZZ IMOBILIARIA LTDA,Smart,27,64355.69,7042500.08,2026-05-25,75.926235,A,1.0
TUTTO TECNOLOGIA E GESTÃO LTDA,Smart,33,62682.93,7105183.01,2026-06-01,76.602029,A,2.0
ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,Smart,42,53822.47,7159005.48,2026-04-29,77.182297,A,2.0
FLORA IMÓVEIS LTDA,Full,30,52143.00,7211148.48,2026-03-08,77.744458,A,2.0
ELDORADO EMPREENDIMENTOS IMOBILIÁRIOS LTDA ME,Light,40,51053.50,7262201.98,2025-07-20,78.294874,A,2.0
IMOWEFFER SOLUCOES IMOBILIARIAS LTDA,Full,20,48360.00,7310561.98,2026-05-15,78.81625,A,1.0
IMOBILIARIA CONTAGEM LTDA,Smart,36,47182.40,7357744.38,2026-05-23,79.32493,A,1.0
VELOPE IMOVEIS LTDA,Smart,11,46432.00,7404176.38,2026-04-09,79.825521,A,1.0
ELITE NEGOCIOS IMOBILIARIOS LTDA,Smart,15,44750.00,7448926.38,2026-05-20,80.307977,B,1.0
TUTTO TECNOLOGIA E GESTÃO LTDA,Full,35,43169.46,7492095.84,2026-01-03,80.773393,B,2.0
SOU IMOVEIS GESTAO DE NEGOCIOS IMOBILIARIOS LTDA,Smart,17,42950.00,7535045.84,2026-05-01,81.236444,B,1.0
MULTIPLO ADMINISTRADORA DE IMOVEIS LTDA,Light,7,42057.00,7577102.84,2026-05-15,81.689866,B,1.0
MAURI KESSLER LTDA,Full,34,41518.50,7618621.34,2026-05-25,82.137483,B,2.0
MARIANE HADDAD LTDA,Smart,36,40980.00,7659601.34,2026-05-18,82.579295,B,2.0
ABRAKI ASSESSORIA IMOBILIARIA LTDA,Smart,14,40300.00,7699901.34,2026-01-16,83.013775,B,1.0
THAIS VERISSIMO ONOFRE ME,Full,24,39250.00,7739151.34,2026-05-12,83.436935,B,1.0
SEIVA NEGOCIOS IMOBILIARIOS LTDA,Smart,26,38938.81,7778090.15,2026-05-25,83.85674,B,1.0
CONNECT GESTÃO E MEDIAÇÃO IMOBILIÁRIA LTDA,Smart,7,38200.00,7816290.15,2025-12-01,84.26858,B,1.0
ELO IMOBILIARIA LTDA,Light,23,36560.00,7852850.15,2026-03-03,84.662739,B,1.0
Light Safe - SIGASP NEGOCIOS IMOBILIARIOS LTDA.,Light,10,36539.10,7889389.25,2025-01-18,85.056672,B,1.0
FS ASCANI – CONSULTORIA – INTERMEDIAÇÃO DE NEGÓCIOS LTDA,Smart,15,35975.92,7925365.17,2025-10-10,85.444534,B,1.0
MULTIPLO ADMINISTRADORA DE IMOVEIS LTDA,Smart,7,34740.33,7960105.50,2026-04-06,85.819075,B,2.0
Light Growth - ERIK CARLOS BIGATTO,Light,12,34070.00,7994175.50,2025-10-11,86.186388,B,1.0
RAFAEL BARROS PASCHOALIM LTDA,Full,27,32316.45,8026491.95,2026-05-15,86.534797,B,2.0
Light Safe - Adriano Augusto Dos Santos Nunes,Light,23,31680.00,8058171.95,2025-07-30,86.876343,B,2.0
DELREY IMOBILIÁRIA LTDA.,Full,15,30950.00,8089121.95,2026-05-29,87.21002,B,1.0
M. H. J. DOS SANTOS,Full,23,30593.64,8119715.59,2125-07-18,87.539855,B,1.0
SMART BROKERS CONSULTORIA E INVESTIMENTOS IMOBILIARIOS LTDA,Smart,13,29989.62,8149705.21,2026-02-27,87.863177,B,1.0
INNOVIMOB CONSULTORIA MERCADOLOGICA E NEGOCIOS IMOBILIARIOS LTDA,Full,22,29516.14,8179221.35,2026-03-16,88.181395,B,2.0
ISMAEL MARIANO,Smart,14,29447.79,8208669.14,2025-11-10,88.498876,B,1.0
VIA M EMPREENDIMENTOS IMOBILIARIOS LTDA,Full,16,28660.00,8237329.14,2024-11-09,88.807864,B,1.0
LIDIANE PINTO DE CERQUEIRA,Full,12,27430.00,8264759.14,2026-03-06,89.103591,B,1.0
AGENCIE IMOVEIS TECNOLOGIA E SERVICOS IMOBILIARIOS LTDA.,Smart,7,27427.98,8292187.12,2025-05-06,89.399296,B,1.0
RIO CAPITAL CONSULTORIA IMOBILIARIA LTDA,Light,11,27012.60,8319199.72,2025-05-27,89.690522,B,1.0
RG IMOVEIS LTDA,Smart,20,26511.79,8345711.51,2024-12-09,89.97635,B,1.0
Light Safe - RENATA FERNANDES SERVICOS IMOBILIARIOS LTDA,Light,11,25743.56,8371455.07,2026-05-15,90.253895,B,1.0
NIVALDO ZANON S JUNIOR CONSULTORIA IMOBILIÁRIA,Full,16,25630.00,8397085.07,2026-04-10,90.530216,B,2.0
LIGHT GROWTH - IMOBILIARIA STEVAUX GALVAO LTDA,Light,10,25410.00,8422495.07,2026-02-12,90.804165,B,1.0
LMWM ASSESSORIA IMOBILIÁRIA LTDA.,Smart,11,24963.69,8447458.76,2024-11-04,91.073302,B,1.0
A-1 ASSOCIATE IMOVEIS LTDA,Full,8,22986.60,8470445.36,2025-09-01,91.321124,B,2.0
IGR NEGOCIOS IMOBILIARIOS E ADMINISTRADORA LTDA,Full,14,22274.00,8492719.36,2025-08-20,91.561263,B,1.0
Light Growth - A. A. PEREIRA ASSESSORIA IMOBILIARIA,Light,10,22150.00,8514869.36,2026-05-09,91.800066,B,1.0
ACVIANA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,Smart,8,21500.00,8536369.36,2026-02-16,92.03186,B,1.0
LUIS CARLOS MARTINS,Smart,11,19880.00,8556249.36,2026-05-11,92.24619,B,1.0
CASTRO E BITENCOURT NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,6,19567.52,8575816.88,2026-04-01,92.45715,B,2.0
KMK10 IMOVEIS LTDA,Full,10,18860.00,8594676.88,2026-05-16,92.660482,B,2.0
LMWM ASSESSORIA IMOBILIÁRIA LTDA.,Full,10,18793.12,8613470.00,2025-08-01,92.863094,B,1.0
INNOVIMOB CONSULTORIA MERCADOLOGICA E NEGOCIOS IMOBILIARIOS LTDA,Smart,9,18481.29,8631951.29,2025-03-10,93.062343,B,1.0
LINEARE NEGOCIOS IMOBILIARIOS LTDA,Smart,10,18138.18,8650089.47,2026-04-02,93.257894,B,2.0
A-1 ASSOCIATE IMOVEIS LTDA,Smart,5,17430.00,8667519.47,2024-06-01,93.445809,B,1.0
OPENHOUSE CONSULTORIA IMOBILIÁRIA,Smart,5,17150.00,8684669.47,2025-01-09,93.630706,B,1.0
IMOBILIÁRIA MOTTA EMPREENDIMENTOS LTDA.,Smart,13,16908.60,8701578.07,2025-08-09,93.813,B,1.0
OCEANICA IMOBILIARIA LTDA,Full,7,16204.95,8717783.02,2026-03-17,93.987708,B,1.0
MALTA CONSULTORIA E ENGENHARIA LTDA,Full,5,16040.00,8733823.02,2026-01-10,94.160638,B,1.0
ALUGGAI ADMINISTRACAO DE IMOVEIS LTDA - IGL,Smart,10,15773.63,8749596.65,2025-11-12,94.330695,B,2.0
FLORA IMÓVEIS LTDA,Smart,12,15598.62,8765195.27,2024-05-20,94.498866,B,2.0
V&V NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,3,14997.14,8780192.41,2025-06-20,94.660553,B,1.0
Ligth Safe - AB NEGOCIOS IMOBILIARIOS LTDA,Light,8,14225.00,8794417.41,2025-05-11,94.813915,B,1.0
NOVA SOLAR EMPREENDIMENTOS IMOBILIÁRIOS S/S LTDA,Full,4,13750.00,8808167.41,2026-02-01,94.962155,B,1.0
WE IMOBILIARIA LTDA,Full,11,12900.00,8821067.41,2026-03-15,95.101232,C,1.0
888 GESTAO EMPRESARIAL LTDA,Smart,4,12450.00,8833517.41,2026-05-08,95.235458,C,1.0
Light Safe - SOLAR ADMINISTRADORA DE BENS IMOVEIS LTDA - EPP,Smart,11,12404.72,8845922.13,2023-10-20,95.369195,C,1.0
SIMONE CONRADO TIMMERMANN NEGOCIOS IMOBILIARIOS,Full,6,12350.00,8858272.13,2024-11-05,95.502342,C,1.0
Light Safe - META NEGOCIOS IMOBILIARIOS LTDA,Light,3,11570.10,8869842.23,2024-11-13,95.627081,C,1.0
CEDRO NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,2,11500.00,8881342.23,2025-01-15,95.751064,C,1.0
PUIATTI SOLUÇÕES IMOBILIÁRIAS LTDA,Smart,6,11403.52,8892745.75,2025-04-11,95.874007,C,1.0
THAIS VERISSIMO ONOFRE ME,Smart,10,11299.61,8904045.36,2024-05-10,95.99583,C,1.0
LUÍS FELIPE ARAÚJO GALVÃO DOS SANTOS,Smart,4,11287.05,8915332.41,2024-05-02,96.117517,C,1.0
M. FERRO DE OLIVEIRA CORRETAGEM DE IMOVEIS LTDA,Light,8,10873.90,8926206.31,2025-03-06,96.23475,C,1.0
ALUGGAI ADMINISTRACAO DE IMOVEIS LTDA - IGP,Smart,8,10680.10,8936886.41,2025-12-18,96.349894,C,2.0
REAL ESTATE RENT IMOVEIS LTDA,Smart,6,10550.41,8947436.82,2024-11-12,96.46364,C,1.0
GS IMOBILIARIA LTDA,Full,3,10500.00,8957936.82,2024-11-04,96.576842,C,1.0
CATEF EMPREENDIMENTOS LTDA,Full,2,10440.00,8968376.82,2026-05-18,96.689397,C,1.0
KEILA ALVES DA SILVA,Smart,4,10350.00,8978726.82,2025-07-08,96.800982,C,1.0
ACTION GROUP SOLUTIONS LTDA,Full,4,10100.00,8988826.82,2026-02-13,96.909871,C,1.0
Light Safe - LUIZ CARLOS DOS SANTOS MARANGONI,Light,6,9600.00,8998426.82,2026-03-06,97.01337,C,1.0
DELREY IMOBILIÁRIA LTDA.,Smart,6,9059.08,9007485.90,2025-07-20,97.111038,C,1.0
Ligth Growth - HERCULES IMOVEIS LTDA,Light,3,9000.00,9016485.90,2024-09-23,97.208068,C,1.0
Light Safe - CEVILLE IMOVEIS LTDA,Light,3,8700.00,9025185.90,2025-04-09,97.301864,C,1.0
FORT LEST IMÓVEIS EIRELI,Smart,5,8624.22,9033810.12,2023-06-06,97.394843,C,1.0
SERGIO JOSE MACHADO- IMOVEIS,Smart,5,8520.00,9042330.12,2026-03-16,97.486698,C,1.0
QDEZ NEGOCIOS IMOBILIARIOS LTDA,Smart,8,8120.00,9050450.12,2025-05-03,97.574241,C,1.0
RMX GESTAO IMOBILIARIA E INVESTIMENTOS LTDA,Smart,3,7850.00,9058300.12,2026-02-01,97.658873,C,1.0
Light Growth - REINALDO DE CASTRO DINIZ,Light,4,7800.00,9066100.12,2026-01-23,97.742966,C,1.0
MAURICIO L. KWASNICKA CONSULTORIA IMOBILIÁRIA,Smart,2,7700.00,9073800.12,2026-04-17,97.825981,C,1.0
CALEFI IMÓVEIS LTDA,Smart,3,7545.00,9081345.12,2026-04-13,97.907325,C,1.0
RAFAEL DE CAMPOS PONTES,Smart,3,7400.00,9088745.12,2025-05-15,97.987105,C,1.0
BONTEMPO IMOBILIARIA LTDA,Smart,6,7150.00,9095895.12,2026-06-08,98.06419,C,2.0
SERGIO AUGUSTO STORCH,Light,2,7046.00,9102941.12,2025-09-01,98.140154,C,1.0
DOMINGOS IMÓVEIS - DIEGO RAFAELI DOS SANTOS LTDA,Smart,5,6900.00,9109841.12,2026-05-13,98.214544,C,2.0
BEST IMOBI ASSESSORIA IMOBILIARIA LTDA,Full,3,6710.00,9116551.12,2026-01-17,98.286886,C,1.0
SERGIO JOSE MACHADO- IMOVEIS,Full,2,6300.00,9122851.12,2025-05-16,98.354807,C,1.0
Light Growth - PERFECTA RIO CONSULTORIA IMOBILIARIA LTDA,Light,3,6100.00,9128951.12,2026-02-13,98.420572,C,1.0
FR ALVES IMOBILIARIA ME,Smart,2,5900.00,9134851.12,2024-12-09,98.484181,C,1.0
DIAS HOLDING APOIO ADMINISTRATIVO LTDA,Smart,1,5800.00,9140651.12,2024-12-02,98.546712,C,1.0
YVES NAVARRO DE SOUZA NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,3,5775.78,9146426.90,2024-05-27,98.608981,C,1.0
KIKO LUZA VENDAS IMOVEIS E TECNOLOGIA LTDA,Smart,5,5660.00,9152086.90,2026-05-21,98.670002,C,2.0
VARANDA NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,4,5360.13,9157447.03,2024-04-07,98.727791,C,1.0
BMTP INVEST NEGOCIOS IMOBILIARIOS LTDA,Light,3,4705.48,9162152.51,2026-04-30,98.778521,C,1.0
ANA ALICE MARTINS DE SOUZA,Smart,1,4200.00,9166352.51,2024-02-26,98.823802,C,1.0
R.A.J.B. GESTÃO IMOBILIÁRIA LTDA,Smart,3,4100.00,9170452.51,2026-05-13,98.868005,C,1.0
MARCOS AURELIO FERREIRA,Full,2,4025.00,9174477.51,2025-11-25,98.911399,C,1.0
MALTA CONSULTORIA E ENGENHARIA LTDA,Smart,2,3885.00,9178362.51,2024-04-27,98.953284,C,1.0
Ítalo Francisco Nogueira De Castro,Full,4,3800.20,9182162.71,2026-02-23,98.994254,C,1.0
FLAT IMOBILIÁRIA LTDA.,Light,4,3590.00,9185752.71,2025-01-23,99.032958,C,1.0
CONSTRUIR IMÓVEIS LTDA,Smart,3,3280.00,9189032.71,2022-09-29,99.068321,C,1.0
ELISANGELA APARECIDA DOMINGUES NEGOCIOS IMOBILIARIOS,Smart,2,3200.00,9192232.71,2025-06-10,99.10282,C,1.0
MARCOS CAVALCANTE CRUZ,Smart,2,3150.00,9195382.71,2023-08-07,99.136781,C,1.0
FAIR PLAY GESTAO DE PATRIMONIOS E CONDOMINIOS LTDA,Smart,2,3010.00,9198392.71,2026-06-01,99.169232,C,2.0
IMPERIALE INTELIGENCIA EM NEGOCIOS IMOBILIARIOS LTDA,Smart,3,3000.00,9201392.71,2026-04-16,99.201576,C,1.0
LEHOME NEGOCIOS IMOBILIARIOS LTDA,Full,1,2990.00,9204382.71,2026-03-10,99.233811,C,1.0
PARCERIA ASSESSORIA IMOBILIÁRIA LTDA.,Smart,2,2900.00,9207282.71,2026-02-14,99.265077,C,1.0
NBL CONSULTORIA IMOBILIARIA LTDA,Smart,1,2700.00,9209982.71,2023-08-10,99.294186,C,1.0
MAVINC MARAJOARA CONSULTORIA IMOBILIÁRIA LTDA,Light,1,2700.00,9212682.71,2025-08-01,99.323295,C,1.0
DUCALE NEGOCIOS IMOBILIARIOS LTDA,Full,2,2510.00,9215192.71,2025-08-11,99.350355,C,1.0
DOUGLAS FERREIRA DOS SANTOS,Smart,2,2360.00,9217552.71,2024-04-29,99.375799,C,1.0
CREDENCOL – ASSESSORIA DE CRÉDITOS E NEGÓCIOS IMOBILIÁRIOS LTDA,Smart,3,2342.00,9219894.71,2026-05-13,99.401048,C,2.0
MARCOS AURELIO FERREIRA,Smart,1,2250.00,9222144.71,2024-02-01,99.425306,C,1.0
Jamerson de Albuquerque Leal,Full,1,2200.00,9224344.71,2026-01-12,99.449024,C,1.0
GUILHERME MENDES,Smart,2,2100.00,9226444.71,2024-11-01,99.471665,C,1.0
PEDRO TAVARES IMOVEIS,Smart,2,2094.01,9228538.72,2025-02-10,99.494241,C,1.0
Ligth Safe - ULYSSES TEIXEIRA FERREIRA,Light,2,2000.00,9230538.72,2024-09-20,99.515803,C,1.0
PS REALTY CONSULTORIA LTDA,Smart,3,1950.00,9232488.72,2024-11-01,99.536826,C,1.0
EMPREENDIMENTOS IMOBILIARIOS ADRIANO E LUCILEIA LTDA,Full,1,1900.00,9234388.72,2026-04-10,99.55731,C,1.0
KEILA ALVES DA SILVA,Full,1,1820.00,9236208.72,2025-05-12,99.576932,C,1.0
RESULTA IMÓVEIS SOLUÇÕES IMOBILIÁRIAS LTDA.,Smart,1,1808.00,9238016.72,2024-02-05,99.596424,C,1.0
COSTA ANDRADE NEGOCIOS IMOBILIARIOS LTDA,Smart,1,1802.67,9239819.39,2023-10-04,99.615859,C,1.0
MINAS ADMINISTRAÇÃO E CORRETAGEM DE IMÓVEIS,Smart,2,1800.00,9241619.39,2025-01-24,99.635265,C,1.0
ALLIANCA IMOVEIS ARARAQUARA LTDA,Light,1,1800.00,9243419.39,2025-01-15,99.654671,C,1.0
TOC 2 IMOBILIÁRIA LTDA,Smart,2,1700.00,9245119.39,2022-10-14,99.672999,C,1.0
FABIO LUIS DA SILVA TIBIRICA,Full,1,1700.00,9246819.39,2025-02-14,99.691327,C,1.0
E. I. DA S. ROCHA & D. C. DA SILVA LTDA,Smart,1,1650.00,9248469.39,2023-06-06,99.709116,C,1.0
MACHADO CORREA IMOBILIARIA LTDA.,Smart,2,1630.00,9250099.39,2023-11-22,99.726689,C,1.0
CURATOLO IMÓVEIS LTDA,Smart,1,1605.69,9251705.08,2023-11-01,99.744001,C,1.0
Light Safe - QUADRA 3 ASSESSORIA ADMINISTRATIVA LTDA,Light,1,1600.00,9253305.08,2024-08-26,99.761251,C,1.0
ÁLVARO MAIA ADMINISTRACAO DE IMOVEIS LTDA,Light,1,1600.00,9254905.08,2026-02-07,99.7785,C,1.0
CONSTRUIR IMÓVEIS LTDA,Full,1,1500.00,9256405.08,2024-06-07,99.794672,C,1.0
LIGHT SAFE - OSMAR PINTO CORRETORA DE IMOVEIS LTDA,Light,1,1500.00,9257905.08,2024-05-06,99.810844,C,1.0
Light Safe - BACELO ADVOGADOS,Light,1,1500.00,9259405.08,2024-06-20,99.827016,C,1.0
DA CONSULTORIA E ASSESSORIA LTDA,Smart,1,1500.00,9260905.08,2025-03-21,99.843187,C,1.0
CHAMOUN IMÓVEIS LTDA.,Smart,1,1350.00,9262255.08,2024-04-23,99.857742,C,1.0
Light Safe - DC ADMINISTRADORA DE IMOVEIS E SERVICO DE INFORMACAO CADASTRAL LTDA,Light,1,1300.00,9263555.08,2025-02-09,99.871757,C,1.0
