nome_parceiro,nome_produto,count_contratos,qtd_acumulado,porcentagem,porcentagem_acumulada,classe,date_inicio_contrato_mais_rescente,pontualizado
Light - Valore Investimentos Imobiliarios LTDA,Light,368,368,8.4754,8.4754,A,2026-06-01,1.0
MBASTOS CORRETORA DE IMOVEIS LTDA.,Smart,238,606,5.4813,13.9567,A,2026-06-08,1.0
IMOVELVESP IMOBILIÁRIA LTDA,Smart,188,794,4.3298,18.2865,A,2026-05-20,1.0
EMPREENDIMENTOS IMOBILIARIOS ADRIANO E LUCILEIA LTDA,Smart,147,941,3.3855,21.672,A,2026-05-23,1.0
Light Safe - JACQUELINE IMOVEIS EMPREENDIMENTOS IMOBILIARIOS LTDA,Light,140,1081,3.2243,24.8964,A,2026-05-11,1.0
VIA M EMPREENDIMENTOS IMOBILIARIOS LTDA,Smart,136,1217,3.1322,28.0286,A,2026-06-08,1.0
"MMWM ASSESSORIA IMOBILIARIA LTDA, MMWM CRECI 7062-J ",Full,120,1337,2.7637,30.7923,A,2026-05-14,1.0
ALUGGAI ADMINISTRACAO DE IMOVEIS LTDA - IGM,Smart,103,1440,2.3722,33.1644,A,2026-05-05,2.0
IMOVEIS BRUNO LARA LTDA,Smart,103,1543,2.3722,35.5366,A,2026-05-22,1.0
SIMONE CONRADO TIMMERMANN NEGOCIOS IMOBILIARIOS,Smart,102,1645,2.3491,37.8858,A,2027-12-26,1.0
CLASS NEGÓCIOS IMOBILIARIOS LTDA,Light,101,1746,2.3261,40.2119,A,2026-06-01,1.0
UPMWA LOCACOES IMOBILIARIAS LTDA,Full,96,1842,2.211,42.4228,A,2026-05-22,1.0
NOVA SOLAR EMPREENDIMENTOS IMOBILIÁRIOS S/S LTDA,Smart,92,1934,2.1188,44.5417,A,2026-05-22,1.0
UPMWA LOCACOES IMOBILIARIAS LTDA,Smart,86,2020,1.9807,46.5223,A,2026-05-24,1.0
BLUME NEGOCIOS IMOBILIARIOS LTDA,Full,80,2100,1.8425,48.3648,A,2026-05-15,2.0
DALTON AQUILES IMÓVEIS LTDA,Smart,76,2176,1.7503,50.1152,A,2026-05-20,2.0
GF IMOVEIS LTDA,Light,71,2247,1.6352,51.7503,A,2026-04-17,1.0
BRUM ADMINISTRADORA DE IMOVEIS LTDA,Smart,71,2318,1.6352,53.3855,A,2026-03-09,2.0
HELLO NEGOCIOS IMOBILIARIOS LTDA,Smart,62,2380,1.4279,54.8135,A,2026-05-04,2.0
LOUNGE NEGOCIOS IMOBILIARIOS LTDA,Smart,61,2441,1.4049,56.2183,A,2026-06-01,2.0
MONTREAL IMOVEIS LTDA,Smart,59,2500,1.3588,57.5772,A,2026-05-20,2.0
CIA DO IMOVEL LTDA,Smart,58,2558,1.3358,58.9129,A,2026-05-04,2.0
MAIA FERNANDES NEGOCIOS IMOBILIARIOS LTDA,Smart,54,2612,1.2437,60.1566,A,2026-05-08,2.0
Light- LUAGGE IMÓVEIS LTDA,Light,53,2665,1.2206,61.3772,A,2026-03-01,1.0
LEHOME NEGOCIOS IMOBILIARIOS LTDA,Smart,52,2717,1.1976,62.5749,A,2026-06-01,2.0
Light Growth - RODRIGUES E SILVA EMPREENDIMENTOS IMOBILIARIOS LTDA,Light,50,2767,1.1515,63.7264,A,2026-05-25,1.0
Light Safe - OTTO HOUSE LAR & PATRIMONIO LTDA,Light,48,2815,1.1055,64.8319,A,2026-04-15,2.0
"MMWM ASSESSORIA IMOBILIARIA LTDA, MMWM CRECI 7062-J ",Smart,46,2861,1.0594,65.8913,A,2024-11-09,1.0
RSANCHES IMÓVEIS SERVIÇOS DE CORRETAGEM LTDA,Smart,44,2905,1.0134,66.9047,A,2026-04-30,2.0
ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,Smart,42,2947,0.9673,67.8719,A,2026-04-29,2.0
LIGHT - AM IMOVEIS LTDA,Light,41,2988,0.9443,68.8162,A,2026-05-15,1.0
ELDORADO EMPREENDIMENTOS IMOBILIÁRIOS LTDA ME,Light,40,3028,0.9212,69.7374,A,2025-07-20,2.0
UP ESTATE IMÓVEIS LTDA.,Smart,39,3067,0.8982,70.6357,A,2026-04-22,1.0
IMOBILIARIA CONTAGEM LTDA,Smart,36,3103,0.8291,71.4648,A,2026-05-23,1.0
GOLDEN IMÓVEIS LTDA,Full,36,3139,0.8291,72.2939,A,2025-09-09,2.0
MARIANE HADDAD LTDA,Smart,36,3175,0.8291,73.123,A,2026-05-18,2.0
TUTTO TECNOLOGIA E GESTÃO LTDA,Full,35,3210,0.8061,73.9291,A,2026-01-03,2.0
MAURI KESSLER LTDA,Full,34,3244,0.783,74.7121,A,2026-05-25,2.0
TUTTO TECNOLOGIA E GESTÃO LTDA,Smart,33,3277,0.76,75.4721,A,2026-06-01,2.0
EXPERTISE NEGOCIOS IMOBILIARIOS LTDA,Full,32,3309,0.737,76.2091,A,2026-04-28,1.0
4IMOB IMOBILIÁRIA LTDA,Smart,31,3340,0.714,76.9231,A,2026-05-03,1.0
FLORA IMÓVEIS LTDA,Full,30,3370,0.6909,77.614,A,2026-03-08,2.0
JAZZ IMOBILIARIA LTDA,Smart,27,3397,0.6218,78.2358,A,2026-05-25,1.0
RAFAEL BARROS PASCHOALIM LTDA,Full,27,3424,0.6218,78.8577,A,2026-05-15,2.0
SEIVA NEGOCIOS IMOBILIARIOS LTDA,Smart,26,3450,0.5988,79.4565,A,2026-05-25,1.0
THAIS VERISSIMO ONOFRE ME,Full,24,3474,0.5527,80.0092,B,2026-05-12,1.0
Light Safe - Adriano Augusto Dos Santos Nunes,Light,23,3497,0.5297,80.5389,B,2025-07-30,2.0
M. H. J. DOS SANTOS,Full,23,3520,0.5297,81.0686,B,2125-07-18,1.0
ELO IMOBILIARIA LTDA,Light,23,3543,0.5297,81.5983,B,2026-03-03,1.0
INNOVIMOB CONSULTORIA MERCADOLOGICA E NEGOCIOS IMOBILIARIOS LTDA,Full,22,3565,0.5067,82.105,B,2026-03-16,2.0
RG IMOVEIS LTDA,Smart,20,3585,0.4606,82.5656,B,2024-12-09,1.0
LUÍS FELIPE ARAÚJO GALVÃO DOS SANTOS,Full,20,3605,0.4606,83.0263,B,2026-05-08,1.0
IMOWEFFER SOLUCOES IMOBILIARIAS LTDA,Full,20,3625,0.4606,83.4869,B,2026-05-15,1.0
Light Growth - RAPHAEL IMÓVEIS LTDA,Light,18,3643,0.4146,83.9014,B,2026-04-24,1.0
SOU IMOVEIS GESTAO DE NEGOCIOS IMOBILIARIOS LTDA,Smart,17,3660,0.3915,84.293,B,2026-05-01,1.0
VIA M EMPREENDIMENTOS IMOBILIARIOS LTDA,Full,16,3676,0.3685,84.6614,B,2024-11-09,1.0
NIVALDO ZANON S JUNIOR CONSULTORIA IMOBILIÁRIA,Full,16,3692,0.3685,85.0299,B,2026-04-10,2.0
FS ASCANI – CONSULTORIA – INTERMEDIAÇÃO DE NEGÓCIOS LTDA,Smart,15,3707,0.3455,85.3754,B,2025-10-10,1.0
DELREY IMOBILIÁRIA LTDA.,Full,15,3722,0.3455,85.7209,B,2026-05-29,1.0
ELITE NEGOCIOS IMOBILIARIOS LTDA,Smart,15,3737,0.3455,86.0663,B,2026-05-20,1.0
ISMAEL MARIANO,Smart,14,3751,0.3224,86.3888,B,2025-11-10,1.0
ABRAKI ASSESSORIA IMOBILIARIA LTDA,Smart,14,3765,0.3224,86.7112,B,2026-01-16,1.0
IGR NEGOCIOS IMOBILIARIOS E ADMINISTRADORA LTDA,Full,14,3779,0.3224,87.0336,B,2025-08-20,1.0
IMOBILIÁRIA MOTTA EMPREENDIMENTOS LTDA.,Smart,13,3792,0.2994,87.333,B,2025-08-09,1.0
SMART BROKERS CONSULTORIA E INVESTIMENTOS IMOBILIARIOS LTDA,Smart,13,3805,0.2994,87.6324,B,2026-02-27,1.0
FLORA IMÓVEIS LTDA,Smart,12,3817,0.2764,87.9088,B,2024-05-20,2.0
LIDIANE PINTO DE CERQUEIRA,Full,12,3829,0.2764,88.1852,B,2026-03-06,1.0
Light Growth - ERIK CARLOS BIGATTO,Light,12,3841,0.2764,88.4615,B,2025-10-11,1.0
VELOPE IMOVEIS LTDA,Smart,11,3852,0.2533,88.7149,B,2026-04-09,1.0
Light Safe - SOLAR ADMINISTRADORA DE BENS IMOVEIS LTDA - EPP,Smart,11,3863,0.2533,88.9682,B,2023-10-20,1.0
LMWM ASSESSORIA IMOBILIÁRIA LTDA.,Smart,11,3874,0.2533,89.2216,B,2024-11-04,1.0
